entidad,año,mes,cve_mes,paciente_hombre,paciente_mujer,pob_muj_mit_año,tasa_muj_viol_fam,paciente_sexo_no_esp,total_general
SAN LUIS POTOSI,2019,Diciembre,L,6,196,1456541,13.46,0,202
SINALOA,2019,Enero,A,1,8,1575013,0.51,0,9
SINALOA,2019,Febrero,B,0,159,1575013,10.10,0,159
SINALOA,2019,Marzo,C,4,174,1575013,11.05,0,178
SINALOA,2019,Abril,D,4,171,1575013,10.86,0,175
SINALOA,2019,Mayo,E,6,194,1575013,12.32,0,200
SINALOA,2019,Junio,F,1,155,1575013,9.84,0,156
SINALOA,2019,Julio,G,2,59,1575013,3.75,0,61
SINALOA,2019,Agosto,H,5,182,1575013,11.56,0,187
SINALOA,2019,Septiembre,I,0,160,1575013,10.16,0,160
SINALOA,2019,Octubre,J,3,142,1575013,9.02,0,145
SINALOA,2019,Noviembre,K,5,177,1575013,11.24,0,182
SINALOA,2019,Diciembre,L,1,119,1575013,7.56,0,120
SONORA,2019,Enero,A,10,34,1527257,2.23,0,44
SONORA,2019,Febrero,B,9,75,1527257,4.91,0,84
SONORA,2019,Marzo,C,8,97,1527257,6.35,0,105
SONORA,2019,Abril,D,9,108,1527257,7.07,0,117
SONORA,2019,Mayo,E,19,104,1527257,6.81,0,123
SONORA,2019,Junio,F,16,94,1527257,6.15,0,110
SONORA,2019,Julio,G,23,127,1527257,8.32,0,150
SONORA,2019,Agosto,H,13,129,1527257,8.45,0,142
SONORA,2019,Septiembre,I,21,104,1527257,6.81,0,125
SONORA,2019,Octubre,J,8,93,1527257,6.09,0,101
SONORA,2019,Noviembre,K,9,79,1527257,5.17,0,88
SONORA,2019,Diciembre,L,7,51,1527257,3.34,0,58
TABASCO,2019,Enero,A,17,95,1291146,7.36,0,112
TABASCO,2019,Febrero,B,13,155,1291146,12.00,0,168
TABASCO,2019,Marzo,C,15,218,1291146,16.88,0,233
TABASCO,2019,Abril,D,22,208,1291146,16.11,0,230
TABASCO,2019,Mayo,E,25,211,1291146,16.34,0,236
TABASCO,2019,Junio,F,20,186,1291146,14.41,0,206
TABASCO,2019,Julio,G,17,191,1291146,14.79,0,208
TABASCO,2019,Agosto,H,13,195,1291146,15.10,0,208
TABASCO,2019,Septiembre,I,7,214,1291146,16.57,0,221
TABASCO,2019,Octubre,J,23,220,1291146,17.04,0,243
TABASCO,2019,Noviembre,K,20,137,1291146,10.61,0,157
TABASCO,2019,Diciembre,L,15,62,1291146,4.80,0,77
TAMAULIPAS,2019,Enero,A,2,308,1829220,16.84,0,310
TAMAULIPAS,2019,Febrero,B,4,406,1829220,22.20,0,410
TAMAULIPAS,2019,Marzo,C,5,379,1829220,20.72,0,384
TAMAULIPAS,2019,Abril,D,5,363,1829220,19.84,0,368
TAMAULIPAS,2019,Mayo,E,7,417,1829220,22.80,0,424
TAMAULIPAS,2019,Junio,F,10,373,1829220,20.39,0,383
TAMAULIPAS,2019,Julio,G,4,402,1829220,21.98,0,406
TAMAULIPAS,2019,Agosto,H,6,368,1829220,20.12,0,374
TAMAULIPAS,2019,Septiembre,I,8,345,1829220,18.86,0,353
TAMAULIPAS,2019,Octubre,J,4,392,1829220,21.43,0,396
TAMAULIPAS,2019,Noviembre,K,3,452,1829220,24.71,0,455
TAMAULIPAS,2019,Diciembre,L,5,193,1829220,10.55,0,198
TLAXCALA,2019,Enero,A,2,50,699235,7.15,0,52
TLAXCALA,2019,Febrero,B,4,156,699235,22.31,0,160
TLAXCALA,2019,Marzo,C,10,194,699235,27.74,0,204
TLAXCALA,2019,Abril,D,10,156,699235,22.31,0,166
TLAXCALA,2019,Mayo,E,10,125,699235,17.88,0,135
TLAXCALA,2019,Junio,F,5,107,699235,15.30,0,112
TLAXCALA,2019,Julio,G,4,105,699235,15.02,0,109
TLAXCALA,2019,Agosto,H,3,79,699235,11.30,0,82
TLAXCALA,2019,Septiembre,I,5,122,699235,17.45,0,127
TLAXCALA,2019,Octubre,J,3,119,699235,17.02,0,122
TLAXCALA,2019,Noviembre,K,0,110,699235,15.73,0,110
TLAXCALA,2019,Diciembre,L,2,58,699235,8.29,0,60
VERACRUZ,2019,Enero,A,17,106,4366584,2.43,0,123
VERACRUZ,2019,Febrero,B,17,186,4366584,4.26,1,204
VERACRUZ,2019,Marzo,C,31,214,4366584,4.90,0,245
VERACRUZ,2019,Abril,D,38,189,4366584,4.33,0,227
VERACRUZ,2019,Mayo,E,37,142,4366584,3.25,0,179
VERACRUZ,2019,Junio,F,29,142,4366584,3.25,0,171
VERACRUZ,2019,Julio,G,41,128,4366584,2.93,0,169
VERACRUZ,2019,Agosto,H,27,115,4366584,2.63,0,142
VERACRUZ,2019,Septiembre,I,30,137,4366584,3.14,0,167
VERACRUZ,2019,Octubre,J,40,152,4366584,3.48,0,192
VERACRUZ,2019,Noviembre,K,22,86,4366584,1.97,0,108
VERACRUZ,2019,Diciembre,L,25,63,4366584,1.44,0,88
YUCATAN,2019,Enero,A,1,47,1133299,4.15,0,48
YUCATAN,2019,Febrero,B,4,60,1133299,5.29,0,64
YUCATAN,2019,Marzo,C,3,43,1133299,3.79,0,46
YUCATAN,2019,Abril,D,3,36,1133299,3.18,0,39
YUCATAN,2019,Mayo,E,2,50,1133299,4.41,0,52
YUCATAN,2019,Junio,F,1,40,1133299,3.53,0,41
YUCATAN,2019,Julio,G,2,32,1133299,2.82,0,34
YUCATAN,2019,Agosto,H,0,32,1133299,2.82,0,32
YUCATAN,2019,Septiembre,I,4,34,1133299,3.00,0,38
YUCATAN,2019,Octubre,J,3,43,1133299,3.79,0,46
YUCATAN,2019,Noviembre,K,0,34,1133299,3.00,0,34
YUCATAN,2019,Diciembre,L,1,21,1133299,1.85,0,22
ZACATECAS,2019,Enero,A,3,40,841344,4.75,0,43
ZACATECAS,2019,Febrero,B,3,67,841344,7.96,0,70
ZACATECAS,2019,Marzo,C,2,94,841344,11.17,0,96
ZACATECAS,2019,Abril,D,5,75,841344,8.91,0,80
ZACATECAS,2019,Mayo,E,5,118,841344,14.03,0,123
ZACATECAS,2019,Junio,F,6,90,841344,10.70,0,96
ZACATECAS,2019,Julio,G,1,112,841344,13.31,0,113
ZACATECAS,2019,Agosto,H,1,89,841344,10.58,0,90
ZACATECAS,2019,Septiembre,I,1,81,841344,9.63,0,82
ZACATECAS,2019,Octubre,J,1,89,841344,10.58,0,90
ZACATECAS,2019,Noviembre,K,0,64,841344,7.61,0,64
ZACATECAS,2019,Diciembre,L,3,31,841344,3.68,0,34
NACIONAL,2019,Enero,A,259,4614,64600059,7.14,0,4873
NACIONAL,2019,Febrero,B,343,8362,64600059,12.94,1,8706
NACIONAL,2019,Marzo,C,440,10185,64600059,15.77,0,10625
NACIONAL,2019,Abril,D,419,10089,64600059,15.62,5,10513
NACIONAL,2019,Mayo,E,473,10642,64600059,16.47,2,11117
NACIONAL,2019,Junio,F,420,9100,64600059,14.09,1,9521
NACIONAL,2019,Julio,G,398,9641,64600059,14.92,0,10039
NACIONAL,2019,Agosto,H,402,8716,64600059,13.49,1,9119
NACIONAL,2019,Septiembre,I,421,8591,64600059,13.30,0,9012
NACIONAL,2019,Octubre,J,387,9542,64600059,14.77,0,9929
NACIONAL,2019,Noviembre,K,329,8103,64600059,12.54,0,8432
NACIONAL,2019,Diciembre,L,249,4392,64600059,6.80,0,4641
